epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1327.15,1.05219,0.53386,1.06215,0.97951,0.99438,0.99425,0.72477,1.01333,0.46844,1.01466,0.000666333,0.000666333,0.000666333
2,2636.54,1.02696,0.44209,1.05466,0.99856,0.99838,0.99499,0.75611,0.96677,0.39192,1.00417,0.00120103,0.00120103,0.00120103
3,3941.87,1.00561,0.41608,1.0475,0.99775,0.99962,0.99493,0.7523,0.98263,0.37135,1.0084,0.00160373,0.00160373,0.00160373
4,5245.62,0.98682,0.39348,1.03663,0.99788,0.99945,0.99492,0.75972,0.96458,0.34544,1.00284,0.001406,0.001406,0.001406
5,6548.94,0.97062,0.37103,1.02646,0.99934,0.99962,0.995,0.77044,0.94823,0.33254,0.99061,0.001208,0.001208,0.001208
6,7851.72,0.95665,0.35293,1.01854,0.99882,0.99987,0.99499,0.76937,0.9437,0.32449,0.98711,0.00101,0.00101,0.00101
7,9154.35,0.94612,0.34345,1.01514,0.99949,0.99987,0.995,0.77355,0.93883,0.31003,0.98623,0.000812,0.000812,0.000812
8,10456.9,0.93582,0.33138,1.01178,0.99887,0.99975,0.995,0.77577,0.93251,0.30227,0.9852,0.000614,0.000614,0.000614
9,11759.3,0.92436,0.31615,1.00634,0.99861,1,0.99498,0.7774,0.9302,0.29504,0.98018,0.000416,0.000416,0.000416
10,13063.2,0.91414,0.30167,0.99966,0.99982,0.99987,0.995,0.77692,0.92835,0.28827,0.97938,0.000218,0.000218,0.000218
